BTC,ETH,BNB,SOL,USDC,XRP,DOGE,ADA,SHIB,AVAX,TRX,DOT,LINK,BCH,NEAR,MATIC,UNI,LTC,PEPE,DAI,ICP,ETC,APT,RNDR,STX,HBAR,XMR,FIL,ATOM,INJ,XLM,IMX,ARB,FDUSD,WIF,GRT,TAO,SUI,OP,VET,AR,FLOKI,MKR
47132.77,2486.56,324.0,106.94,0.9995,0.5262,0.08155,0.5407,9.39e-06,38.0,0.1237,7.196,18.47,250.3,2.995,0.8526,6.654,70.64,1.01e-06,,12.855,26.15,9.0891,4.706,1.8105,0.0794,121.5,5.473,10.02,34.85,0.112,2.466,1.9812,1.0042,,0.167,,1.7612,3.46,0.02977,8.76,3.123e-05,1968.0
47751.09,2500.24,323.0,109.01,0.9997,0.5239,0.08142,0.5515,9.41e-06,40.2,0.12436,7.2,19.084,247.8,3.043,0.8487,6.628,70.8,1.01e-06,,13.129,25.89,9.0769,4.657,1.8131,0.0788,119.3,5.354,9.971,34.95,0.1117,2.7763,1.9605,1.0045,,0.1706,,1.7315,3.366,0.02968,8.671,3.089e-05,2005.0
48299.99,2507.21,320.7,107.46,0.9996,0.5261,0.08123,0.5414,9.41e-06,39.72,0.12422,7.099,20.146,277.6,3.125,0.8355,6.683,71.55,1e-06,,12.976,25.88,9.0435,4.617,1.8502,0.0783,120.7,5.308,9.74,35.16,0.1113,2.744,1.9417,1.0044,,0.1673,,1.6945,3.535,0.03023,8.652,3.084e-05,2026.0
49917.27,2659.99,327.8,111.64,0.9997,0.5315,0.08223,0.5592,9.61e-06,40.97,0.125,7.34,20.465,280.5,3.381,0.8795,6.836,72.82,1.08e-06,,13.265,26.92,9.1615,4.802,1.9931,0.0796,126.3,5.45,9.911,36.75,0.1131,2.9541,2.076,1.0036,,0.175,,1.7619,3.816,0.03148,8.993,3.201e-05,2076.0
49699.59,2639.99,324.7,112.48,0.9995,0.5247,0.08105,0.5449,9.47e-06,39.74,0.12687,7.353,19.87,270.4,3.214,0.8538,6.68,68.97,1.08e-06,,12.925,26.21,9.204,4.9,2.1299,0.0814,127.8,5.488,10.293,34.64,0.111,2.9593,2.0472,1.0015,,0.1721,,1.8558,3.73,0.03264,9.522,3.213e-05,2056.0
51795.17,2774.81,333.9,116.97,0.9992,0.5378,0.0855,0.5768,9.75e-06,42.22,0.12956,7.649,20.24,280.7,3.334,0.8899,6.889,69.81,1.25e-06,,13.585,26.89,9.4412,5.006,2.5645,0.0824,128.1,5.59,10.244,35.42,0.1144,3.2813,2.111,1.0004,,0.1801,,1.9054,3.82,0.03582,9.867,3.349e-05,2089.0
51880.0,2822.59,354.2,113.5,0.999,0.5622,0.08528,0.6087,9.86e-06,41.55,0.13104,7.781,19.932,270.4,3.399,0.8896,7.506,69.76,1.25e-06,,13.501,26.78,10.1589,5.293,2.5327,0.0829,125.7,5.869,10.329,34.13,0.1167,3.1874,2.072,0.9998,,0.1842,,1.8629,3.858,0.04585,12.15,3.384e-05,2097.0
52124.11,2801.8,360.4,110.33,0.9993,0.5643,0.08591,0.5986,9.87e-06,40.26,0.13282,7.647,19.551,274.2,3.279,0.9512,7.44,70.59,1.17e-06,,13.125,26.77,9.8044,5.289,2.5893,0.0855,122.5,5.788,10.235,34.49,0.1155,3.1449,2.0104,1.0003,,0.194,,1.8072,3.641,0.04629,11.609,3.358e-05,2080.0
51642.64,2785.93,352.9,108.92,0.9997,0.5496,0.08356,0.6096,9.63e-06,39.76,0.1359,7.704,20.032,267.3,3.331,0.9281,7.766,69.97,1.19e-06,,13.176,26.04,9.6965,5.673,2.5346,0.0835,121.3,6.209,10.275,37.76,0.1141,3.1583,1.9693,1.0,,0.216,,1.7677,3.579,0.04539,12.583,3.331e-05,2129.0
52137.67,2881.2,349.8,112.24,0.9998,0.5571,0.08517,0.6193,9.74e-06,40.29,0.13518,7.86,20.119,270.6,3.521,0.9992,7.657,70.8,1.23e-06,,13.656,26.54,9.6915,5.869,2.6502,0.0898,121.9,6.28,10.594,38.88,0.1159,3.3472,2.0396,0.9994,,0.2386,,1.7997,3.793,0.04553,11.963,3.393e-05,2173.0
51774.73,2944.8,351.6,111.53,0.9998,0.5626,0.08942,0.6308,9.9e-06,39.51,0.13636,8.029,19.832,273.1,3.529,0.9969,7.698,71.3,1.23e-06,,14.605,27.4,10.1231,6.315,2.6375,0.112,112.5,7.397,10.729,37.59,0.1184,3.2726,2.0541,0.9979,,0.2451,,1.7735,3.96,0.04476,14.891,3.53e-05,2156.0
52258.82,3014.81,354.6,108.31,0.9999,0.5622,0.08615,0.6216,9.76e-06,38.49,0.13921,7.731,19.281,265.2,3.395,1.0226,7.559,69.65,1.2e-06,,13.73,27.07,9.6378,6.47,2.7049,0.1073,118.7,7.708,10.369,36.43,0.1176,3.5369,2.0098,0.9981,,0.2497,,1.7169,4.066,0.04422,14.39,3.442e-05,2130.0
51849.39,2967.9,379.2,105.03,1.0,0.5491,0.08457,0.5988,9.56e-06,37.61,0.13971,7.466,18.594,263.1,3.241,0.9511,7.391,68.9,1.15e-06,,13.182,26.07,9.2372,6.921,2.6603,0.1046,,7.241,9.983,35.08,0.1144,3.3541,1.8767,1.0041,,0.2816,,1.6922,3.763,0.0434,13.616,3.32e-05,2050.0
51288.42,2971.4,382.6,101.76,1.0007,0.541,0.0841,0.5858,9.53e-06,36.78,0.13901,7.48,18.121,260.4,3.25,0.9926,7.36,68.8,1.21e-06,,12.737,25.81,9.2262,7.392,2.5439,0.1162,,8.068,9.786,34.15,0.1154,3.2388,1.808,1.002,,0.27,,1.7187,3.64,0.04485,13.56,3.362e-05,2024.0
50744.15,2922.24,375.5,99.9,1.0001,0.5342,0.08451,0.5824,9.52e-06,35.92,0.13817,7.563,17.935,264.7,3.364,0.9867,11.4,68.8,1.19e-06,,12.363,25.42,9.1204,7.362,2.4436,0.1093,,8.01,9.957,32.93,0.1147,3.0468,1.7987,1.0018,,0.2652,,1.6034,3.508,0.04356,13.023,3.424e-05,1986.0
51568.22,2992.62,381.7,104.01,1.0001,0.545,0.08615,0.5969,9.65e-06,36.76,0.13742,7.819,18.533,267.7,3.864,0.9939,11.259,70.41,1.32e-06,,12.519,26.09,9.4712,7.226,2.5854,0.1101,,8.091,10.418,34.65,0.1165,3.08,1.8446,1.0017,,0.2705,,1.636,3.669,0.04444,13.678,3.543e-05,2043.0
51728.85,3112.59,388.5,103.47,1.0001,0.5425,0.08612,0.5914,9.67e-06,37.46,0.13765,7.923,18.722,267.9,3.704,0.9987,11.138,70.16,1.37e-06,,12.485,27.19,9.6543,7.215,2.5914,0.1093,,8.117,10.375,35.82,0.1166,3.2065,1.9046,1.0003,,0.2892,,1.6455,3.881,0.04502,15.695,3.672e-05,2050.0
54476.47,3175.94,401.6,109.9,0.9992,0.5506,0.08923,0.6191,1.006e-05,39.29,0.13983,8.109,19.083,274.7,4.097,1.059,10.612,71.93,1.81e-06,,12.937,27.77,10.1457,7.589,2.9093,0.1115,,8.142,11.138,36.66,0.118,3.3085,1.9283,0.9993,,0.2941,,1.6705,3.824,0.05065,16.29,4.329e-05,2102.0
