BTC,ETH,BNB,SOL,USDC,XRP,DOGE,ADA,SHIB,AVAX,LINK,DOT,TRX,BCH,NEAR,MATIC,UNI,LTC,PEPE,ICP,DAI,ETC,RNDR,APT,HBAR,IMX,WIF,ATOM,FIL,ARB,XLM,STX,AR,XMR,GRT,FLOKI,FDUSD,TAO,OP,SUI,NOT,VET,MKR
21796.35,1545.35,306.2,20.48,,0.3819,0.08144,0.3622,1.216e-05,17.9,6.984,6.235,0.06265,126.6,2.27,1.2297,6.33,92.05,,5.08,,20.9,1.373,13.3407,0.0716,0.883,,13.53,4.789,,0.0857,0.284,10.46,152.6,0.1475,,,,2.399,,,0.02329,712.0
21625.19,1513.06,305.8,20.11,,0.3817,0.08089,0.3581,1.287e-05,17.79,6.89,6.186,0.06329,124.3,2.25,1.2298,6.365,93.34,,5.072,,20.97,1.483,13.6562,0.0761,0.96,,13.705,4.848,,0.0857,0.284,10.5,154.7,0.1666,,,,2.417,,,0.02357,712.0
21862.55,1538.51,310.4,20.81,,0.3833,0.08225,0.3684,1.291e-05,18.01,7.003,6.278,0.06372,124.6,2.285,1.2493,6.481,94.28,,5.268,,21.49,1.447,13.8858,0.0881,1.078,,13.749,5.102,,0.0862,0.292,11.68,161.4,0.1616,,,,2.488,,,0.02388,724.0
21783.54,1514.83,312.6,21.49,,0.3747,0.08215,0.3641,1.283e-05,17.78,6.808,6.181,0.06388,122.9,2.237,1.236,6.346,92.51,,5.51,,21.06,1.543,13.1054,0.0868,1.028,,13.539,4.919,,0.0851,0.296,11.11,159.5,0.1543,,,,2.333,,,0.02358,685.0
21773.97,1505.24,294.3,20.77,,0.3703,0.08209,0.3593,1.247e-05,17.63,6.669,6.143,0.0656,123.8,2.187,1.1851,6.244,91.05,,5.345,,20.64,1.498,13.7341,0.086,0.967,,13.129,4.867,,0.085,0.2966,10.37,155.9,0.1475,,,,2.212,,,0.02298,770.0
22199.84,1555.71,296.2,21.84,,0.3819,0.0836,0.3867,1.275e-05,18.14,6.808,6.227,0.06675,126.7,2.246,1.2579,6.589,95.82,,5.532,,21.23,1.719,14.7535,0.0876,1.134,,13.399,5.091,,0.086,0.3051,11.17,158.5,0.1692,,,,2.427,,,0.02384,739.0
24324.05,1674.92,317.4,23.86,,0.4011,0.08928,0.419,1.375e-05,19.94,7.281,6.612,0.07085,134.8,2.515,1.3283,6.93,102.82,,6.031,,22.47,2.002,15.9415,0.0915,1.247,,14.297,5.483,,0.0902,0.3411,12.14,165.5,0.1847,,,,2.82,,,0.02567,760.0
23517.72,1637.84,304.4,22.24,,0.3841,0.08489,0.3874,1.269e-05,18.59,7.011,6.327,0.06683,128.0,2.311,1.3711,6.477,98.55,,5.936,,21.35,1.768,14.6866,0.0839,1.092,,13.427,5.403,,0.0863,0.3197,11.46,155.7,0.1634,,,,2.622,,,0.02432,706.0
24569.97,1693.87,313.0,23.14,,0.395,0.08771,0.4033,1.317e-05,19.45,7.65,7.284,0.07031,133.4,2.456,1.5239,6.738,100.12,,7.313,,22.42,1.858,14.743,0.0853,1.09,,14.17,7.609,,0.0908,0.3324,13.37,159.6,0.1679,,,,2.793,,,0.02761,725.0
24631.95,1691.62,316.5,23.45,,0.3943,0.08882,0.406,1.319e-05,19.54,7.989,7.229,0.07014,136.2,2.576,1.4847,6.976,99.71,,7.051,,22.62,1.855,14.4335,0.0864,1.051,,14.289,7.52,,0.0918,0.3823,12.37,161.6,0.1773,,,,2.779,,,0.02714,729.0
